u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,tokyo_dura,tokyo_fare,tokyo_tran,L01_005,lvalue,L01_044,L01_045,L01_046,L01_047
731,8,京急EXイン秋葉原,東京都台東区秋葉原２-１,2016年3月,2016,東京都,13_東京都,146,MC,京急EXイン,東京都/台東区/秋葉原/２番,139.77477,35.70182,5,7,50,637,1,91,1431,1,15,133,0,2018,865000,中層の店舗兼事務所ビル等が建ち並ぶ商業地域,御徒町,390,商業
2294,52,フレッタステイイン飯田橋,東京都新宿区新小川町３-２６,1991年8月,1991,東京都,13_東京都,59,賃貸,ホテルマイステイズマネジメント,東京都/新宿区/新小川町/３番,139.74223,35.70514,5,7,60,648,2,98,1430,2,18,154,1,2018,1180000,店舗兼マンション、事務所等が見られる商業地域,飯田橋,370,商業
871,10,ホテルメッツ武蔵境,東京都武蔵野市境南町2-1-8,1994年7月,1994,東京都,13_東京都,95,賃貸,JR東日本ホテルズ,東京都/武蔵野市/境南町/二丁目/１番,139.54427,35.70198,5,7,80,947,3,127,1740,3,36,464,1,2018,1440000,中層の店舗、金融機関等が集まる駅前の商業地域,武蔵境,0,商業
2001,20,スマイルホテル東京阿佐ヶ谷,東京都杉並区阿佐谷南３丁目３７-１１,2010年8月,2010,東京都,13_東京都,112,賃貸,ホスピタリティパートナーズグループ,東京都/杉並区/阿佐谷南/三丁目/３７番,139.63477,35.70434,5,7,68,709,2,110,1578,3,33,435,1,2018,1490000,中高層商業ビルが建ち並ぶ駅前の商業地域,阿佐ケ谷,0,商業
2115,5,ヴィラフォンテーヌ上野御徒町,東京都台東区小島２丁目４-４,2000年7月,2000,東京都,13_東京都,186,所有直営,ホテルヴィラフォンテーヌ,東京都/台東区/小島/二丁目/４番,139.78191,35.70539,5,7,53,648,1,88,1431,1,18,133,0,2018,651000,中高層の営業所ビル、事務所等が多い商業地域,新御徒町,310,商業
897,36,ホテルメッツ高円寺,東京都杉並区高円寺北2-5-1,2007年3月,2007,東京都,13_東京都,110,賃貸,JR東日本ホテルズ,東京都/杉並区/高円寺北/二丁目/５番,139.65021,35.70555,5,7,68,709,2,109,1578,3,29,302,1,2018,953000,中高層商業ビル、マンションが多い駅前商業地域,高円寺,190,商業
233,12,ザ・ビ一水道橋,東京都文京区本郷１丁目２５-２７,2015年7月,2015,東京都,13_東京都,99,賃貸,イシンホテルズグループ,東京都/文京区/本郷/一丁目/２５番,139.75629,35.70532,5,7,54,604,1,96,1409,2,16,165,0,2018,1460000,高層のマンション等が建ち並ぶ共同住宅地域,水道橋,350,近商
2094,8,ホテルウィンダインタ一ナショナル後楽園,東京都文京区本郷１-２５-１１,2004年5月,2004,東京都,13_東京都,114,所有直営,ホテルウィングインターナショナル,東京都/文京区/本郷/一丁目/２５番,139.75629,35.70532,5,7,55,604,1,97,1409,2,17,165,0,2018,1460000,高層のマンション等が建ち並ぶ共同住宅地域,水道橋,350,近商
2585,34,リッチモンドホテル東京水道橋,東京都文京区本郷1-33-9,2014年8月,2014,東京都,13_東京都,196,賃貸,リッチモンドホテルズ,東京都/文京区/本郷/一丁目/３３番,139.75481,35.70633,5,7,54,604,1,96,1409,2,17,165,0,2018,1460000,高層のマンション等が建ち並ぶ共同住宅地域,水道橋,350,近商
2596,8,ホテルリブマックス東上野,東京都台東区元浅草３丁目５-１,2010年2月,2010,東京都,13_東京都,36,賃貸,リブマックスホテルズ＆リゾーツ,東京都/台東区/元浅草/三丁目/５番,139.7856,35.70689,5,7,57,604,0,87,1431,1,22,133,0,2018,935000,中高層事務所、マンション等が建ち並ぶ商業地域,新御徒町,360,商業
