u_id,h_id,hotel_name,住所,y_m,o_year,prefecture,pre_code,rooms,management,brand,LocName,fX,fY,iConf,iLvl,haneda_dur,haneda_far,haneda_tra,narita_dur,narita_far,narita_tra,L01_005,L01_006,L01_044,L01_045,L01_046,L01_047
1429,26,東横INN品川駅高輪口,東京都港区高輪４丁目２３-２,1999年11月,1999,東京都,13_東京都,180,NA,東横INN,東京都/港区/高輪/四丁目/２３番,139.737629999999996,35.626260000000002,5,7,30m,407,0,1h34m,"1,502",0,2018,1170000,一般住宅のほかマンション等が見られる住宅地域,品川,620,1中専
243,7,ストリングスホテル東京インターコンチネンタル,東京都港区港南2-16-1品川イーストワンタワー26F-32F,2007年5月,2007,東京都,13_東京都,206,MC,インターコンチネンタル、ANAクラウンプラザホテル、ホリディ・イン、ANAホテル,東京都/港区/港南/二丁目/１６番,139.740679999999998,35.626489999999997,5,7,32m,407,0,1h36m,"1,502",0,2018,9800000,高層の事務所ビルが建ち並ぶ大規模開発地域,品川,200,商業
1320,3,東急ステイ用賀,東京都世田谷区用賀４丁目４-１,1998年8月,1998,東京都,13_東京都,78,貨資,東急ステイ,東京都/世田谷区/用賀/四丁目/４番,139.633319999999998,35.626320000000000,5,7,1h12m,756,3,1h56m,"1,668",2,2018,783000,中層ビル、小売店舗が建ち並ぶ駅前の商業地域,用賀,200,近商
718,6,京王プレッソイン五反田,東京都品川区西五反田２丁目１７-１２,2008年5月,2008,東京都,13_東京都,178,賃貸,京王プレッソイン,東京都/品川区/西五反田/二丁目/１７番,139.721080000000001,35.626370000000001,5,7,42m,562,1,1h41m,"1,369",1,2018,1830000,中高層の店舗、事務所ビルが建ち並ぶ商業地域,五反田,300,商業
1732,11,第一ホテル東京シーフォート,東京都品川区東品川２丁目３-１５,1992年7月,1992,東京都,13_東京都,127,直営,阪急阪神第一ホテルグループ,東京都/品川区/東品川/二丁目/３番,139.751010000000008,35.623440000000002,5,7,32m,411,0,1h48m,"1,513",1,2018,1280000,倉庫街から中高層ビルへ建替が進む商業地域,天王洲アイル,400,商業
729,6,京急EXイン品川駅前,東京都港区高輪３丁目１３-３シナガワグース,2011年4月,2011,東京都,13_東京都,935,MC,京急EXイン,東京都/港区/高輪/三丁目/１３番,139.733949999999993,35.630710000000001,5,7,30m,407,0,1h34m,"1,502",0,2018,4270000,高層の店舗兼事務所ビル等が多い商業地域,品川,200,商業
730,7,京急EXイン高輪,東京都港区高輪４-１０-８京急第７ビル,2011年11月,2011,東京都,13_東京都,163,MC,京急EXイン,東京都/港区/高輪/四丁目/１０番,139.736979999999988,35.628570000000003,5,7,30m,407,0,1h34m,"1,502",0,2018,4270000,高層の店舗兼事務所ビル等が多い商業地域,品川,200,商業
1885,5,ダランドプリンスホテル高輪,東京都港区高輪３丁目１３-１,1953年11月,1953,東京都,13_東京都,394,直営,プリンスホテルズ＆リゾーツ,東京都/港区/高輪/三丁目/１３番,139.733949999999993,35.630710000000001,5,7,32m,407,0,1h36m,"1,502",0,2018,4270000,高層の店舗兼事務所ビル等が多い商業地域,品川,200,商業
1898,18,品川プリンスホテル,東京都港区高輪４丁目１０-３０,1978年7月,1978,東京都,13_東京都,3560,直営,プリンスホテルズ＆リゾーツ,東京都/港区/高輪/四丁目/１０番,139.736979999999988,35.628570000000003,5,7,32m,407,0,1h36m,"1,502",0,2018,4270000,高層の店舗兼事務所ビル等が多い商業地域,品川,200,商業
1903,23,グランドプリンスホテル新高輪,東京都港区高輪３丁目１３-１,1982年4月,1982,東京都,13_東京都,908,直営,プリンスホテルズ＆リゾーツ,東京都/港区/高輪/三丁目/１３番,139.733949999999993,35.630710000000001,5,7,32m,407,0,1h36m,"1,502",0,2018,4270000,高層の店舗兼事務所ビル等が多い商業地域,品川,200,商業
1921,41,ザ・プリンスさくらタワー東京,東京都港区高輪３丁目１３-１,1998年10月,1998,東京都,13_東京都,288,直営,プリンスホテルズ＆リゾーツ,東京都/港区/高輪/三丁目/１３番,139.733949999999993,35.630710000000001,5,7,32m,407,0,1h36m,"1,502",0,2018,4270000,高層の店舗兼事務所ビル等が多い商業地域,品川,200,商業
2331,9,ザ・プリンスさくらタワー東京オートグラフコレクション・ホテル,東京都港区高輪３丁目１３-１,2013年8月,2013,東京都,13_東京都,289,FC,マリオットインターナショナル,東京都/港区/高輪/三丁目/１３番,139.733949999999993,35.630710000000001,5,7,32m,407,0,1h36m,"1,502",0,2018,4270000,高層の店舗兼事務所ビル等が多い商業地域,品川,200,商業
2003,22,スマイルホテル東京多摩永山,東京都多摩市諏訪２-５-１,2014年4月,2014,東京都,13_東京都,138,賃貸,ホスピタリティパートナーズグループ,東京都/多摩市/諏訪/二丁目/５番,139.451099999999997,35.628570000000003,5,7,1h42m,920,3,2h14m,"1,688",2,2018,179000,一般住宅等が建ち並ぶ区画整然とした住宅地域,京王永山,800,1低専
207,6,ホテルアベスト目黒,東京都品川区上大崎２丁目２６-５,2012年4月,2012,東京都,13_東京都,88,賃貸,アベストホテルズ,東京都/品川区/上大崎/二丁目/２６番,139.714740000000006,35.634090000000000,5,7,44m,561,1,1h44m,"1,483",1,2018,3380000,店舗兼事務所等が建ち並ぶ商業地域,目黒,220,商業
1318,1,東急ステイ目黒祐天寺,東京都目黒区祐天寺２丁目１５-７,1995年7月,1995,東京都,13_東京都,69,賃貸,東急ステイ,東京都/目黒区/祐天寺/二丁目/１５番,139.690400000000011,35.636080000000000,5,7,1h9m,726,2,1h58m,"1,627",3,2018,862000,小売店舗、飲食店舗等が建ち並ぶ駅前の商業地域,祐天寺,100,近商
342,1,お台場　大江戸温泉物語,東京都江東区青海２丁目６-３,2003年3月,2003,東京都,13_東京都,22,賃貸,大江戸温泉物語グループ,東京都/江東区/青海/二丁目/６番,139.777530000000013,35.615650000000002,5,7,1h5m,943,1,1h54m,"1,699",1,2018,1100000,高層業務商業複合施設が集積する臨海副都心地域,国際展示場,330,工専
393,21,グランドニッコー東京台場,東京都港区台場２丁目６-１,2016年7月,2016,東京都,13_東京都,882,賃貸直営,オークラホテルズ＆リゾーツ、ニッコーホテルズ・インターナショナル、ホテルJALシティ,東京都/港区/台場/二丁目/６番,139.771500000000003,35.625100000000003,5,7,58m,881,1,1h47m,"1,637",1,2018,1100000,高層業務商業複合施設が集積する臨海副都心地域,国際展示場,330,工専
825,44,ホテルサンルート有明,東京都江東区有明３丁目６-６,2009年6月,2009,東京都,13_東京都,790,賃貸,サンルートホテルチェーン,東京都/江東区/有明/三丁目/６番,139.789520000000010,35.632210000000001,5,7,56m,678,1,1h44m,"1,591",2,2018,1100000,高層業務商業複合施設が集積する臨海副都心地域,国際展示場,330,工専
1809,12,ヒルトン東京お台場,東京都港区台場１丁目９-１,2015年10月,2015,東京都,13_東京都,453,MC,ヒルトン,東京都/港区/台場/一丁目/９番,139.770649999999989,35.626199999999997,5,7,59m,881,1,1h48m,"1,637",1,2018,1100000,高層業務商業複合施設が集積する臨海副都心地域,国際展示場,330,工専
